affiliated_org,candidate_id,committee_id,committee_type,designation,name,org_type
NEAL VICTORY FUND,H8MA02041,C00226522,H,P,RICHARD E NEAL FOR CONGRESS COMMITTEE,
NONE,H2MA09072,C00366948,H,P,STEPHEN LYNCH FOR CONGRESS,
FRIENDSGIVING COMMITTEE,H8MA05143,C00433136,H,P,THE NIKI TSONGAS COMMITTEE,
,H0MA10082,C00479063,H,P,THE BILL KEATING COMMITTEE,
,H4MA03022,C00285171,H,P,RE-ELECT MCGOVERN COMMITTEE,
NONE,H4MA06033,C00318196,N,U,BEST 4 AMERICA,
,H4MA06033,C00283283,H,A,JOHN TIERNEY FOR CONGRESS,
,H8MA08071,C00336388,H,P,CAPUANO FOR CONGRESS COMMITTEE,
NONE,H6MI16034,C00002600,H,P,JOHN D. DINGELL FOR CONGRESS,
NONE,H6MI01028,C00409797,H,P,CONYERS FOR CONGRESS,
,H6MI01028,C00008201,H,A,FRIENDS OF JOHN CONYERS,
,H6MI01028,C00053082,H,A,CITIZENS FOR CONYERS (AKA CITIZENS CMTE TO RE-ELECT CONG CONYERS),
NONE,H2MI17023,C00156612,H,P,LEVIN FOR CONGRESS,
UPTON VICTORY COMMITTEE,H6MI04113,C00200584,H,P,UPTON FOR ALL OF US,
NONE,H0MI08042,C00343863,Q,U,SECURING AMERICA'S FUTURE PAC,
NONE,H6MI12181,C00365593,H,P,CANDICE MILLER FOR CONGRESS,
,H6MI12181,C00347104,H,P,CANDICE MILLER FOR CONGRESS,
,H6MI12181,C00206201,H,P,COMMITTEE TO ELECT CANDICE MILLER FOR CONGRESS,
GREAT EIGHT COMMITTEE,H4MI07103,C00390724,H,P,WALBERG FOR CONGRESS,
PATRIOT DAY II 2015,H0MI01088,C00476325,H,P,"BENISHEK FOR CONGRESS, INC.",
FINANCIAL INNOVATION COMMITTEE,H0MI02094,C00459297,H,P,HUIZENGA FOR CONGRESS,
NONE,H0MI03126,C00476291,H,P,JUSTIN AMASH FOR CONGRESS,
NONE,H2MI11133,C00656033,H,P,BENTIVOLIO FOR CONGRESS,
,H2MI11133,C00619734,H,P,BENTIVOLIO FOR CONGRESS 2016,
NONE,H2MI11133,C00541003,H,P,BENTIVOLIO FOR CONGRESS,
YOUNG GUNS 2012 ROUND 4 PARTICIPANTS,H2MI11133,C00504035,H,A,KERRY BENTIVOLIO FOR US CONGRESS,
,H6MI07108,C00078105,H,P,KILDEE FOR CONGRESS COMMITTEE,
NONE,H0MI10071,C00347476,Q,U,CREATING A MAJORITY PARTY ACTION COMMITTEE (C.A.M.P.A.C.),
,H0MI10071,C00329151,H,A,DAVE CAMP FOR CONGRESS '98,
,H0MI10071,C00300798,H,A,DAVE CAMP FOR CONGRESS '96,
,H0MI10071,C00284281,H,A,DAVE CAMP FOR CONGRESS '94,
,H0MI10071,C00253393,H,A,DAVE CAMP FOR CONGRESS '92,
,H0MI10071,C00238717,H,A,DAVE CAMP FOR CONGRESS,
NONE,H2MN08111,C00499053,H,P,NOLAN FOR CONGRESS VOLUNTEER COMMITTEE,
NONE,H0MN04049,C00354688,H,P,MCCOLLUM FOR CONGRESS,
FREEDOM AND SECURITY PAC,H8MN06047,C00326629,H,U,KLINE FOR CONGRESS,
MINNESOTA VICTORY,H6MN01174,C00409409,H,P,TIM WALZ FOR US CONGRESS,
NONE,H6MN05183,C00422410,H,P,ELLISON FOR CONGRESS,
BACHMANN FOR PRESIDENT,H6MN06074,C00410118,H,P,BACHMANN FOR CONGRESS,
,H8MN03077,C00439661,H,P,FRIENDS OF ERIK PAULSEN,
VALLEY POLITICAL ACTION COMMITTEE,H2MN07014,C00253187,Q,B,BUFFALO RIVER POLITICAL ACTION COMMITTEE,
,H2MN07014,C00243717,H,A,PETERSON '90 COMMITTEE INC,
,H2MN07014,C00227587,H,A,PETERSON 88 COMMITTEE INC,
,H2MN07014,C00199067,H,A,PETERSON '86 COMMITTEE,
,H2MN07014,C00152686,H,A,FRIENDS OF COLLIN PETERSON,
HARPER MAJORITY FUND,H8MS03067,C00441295,H,P,GREGG HARPER FOR CONGRESS,
NUNNELEE JOINT FUNDRAISING COMMITTEE,H0MS01043,C00464487,H,P,NUNNELEE FOR CONGRESS,
NONE,H0MS04120,C00477323,H,P,PALAZZO FOR CONGRESS,
NONE,H4MS02068,C00279851,H,P,FRIENDS OF BENNIE THOMPSON,
SHOW-ME POLITICAL ACTION COMMITTEE,H0MO06073,C00359034,H,P,GRAVES FOR CONGRESS,
NONE,H0MO01066,C00346080,H,P,CLAY JR. FOR CONGRESS,
CLEAVER MISSOURI VICTORY FUND,H4MO05234,C00395848,H,P,CLEAVER FOR CONGRESS,
BLAINE FOR CONGRESS 2008,H8MO09153,C00458679,H,P,BLAINE FOR CONGRESS,
BLAINE FOR CONGRESS,H8MO09153,C00447748,H,A,BLAINE FOR CONGRESS 2008,
TAKE BACK THE HOUSE 2022,H2MO02102,C00495846,H,P,ANN WAGNER FOR CONGRESS,
,H6MO08084,C00320457,H,P,TEAM EMERSON FOR JO ANN EMERSON,
,H6MO08084,C00321836,H,A,TEAM EMERSON 96,
FORT VICTORY FUND,H4NE01064,C00395467,H,P,JEFF FORTENBERRY FOR UNITED STATES CONGRESS,
ADRIAN SMITH VICTORY FUND (2022),H6NE03115,C00412890,H,P,ADRIAN SMITH FOR CONGRESS,
PATRIOT DAY II 2013,H8NE02139,C00330811,H,P,LEE TERRY FOR CONGRESS,
EDW HOLD THE HOUSE FUND,H8NV03036,C00499467,H,P,TITUS FOR CONGRESS,
DINA TITUS,H8NV03036,C00450577,Q,D,DEMOCRATS TIME IN NEVADA,
,H0NV03058,C00468421,H,P,FRIENDS OF JOE HECK CONGRESS,
PROBLEM SOLVERS PATRIOTS,H2NV02395,C00496760,H,P,AMODEI FOR NEVADA,
SEEC VICTORY FUND,H2NV04011,C00668228,H,P,NEVADANS FOR STEVEN HORSFORD,
SILVER STATE VICTORY 2012,H2NV04011,C00504613,H,P,HORSFORD FOR CONGRESS,
NONE,H6NH01230,C00419978,N,U,DEFEAT BAD LEADERS 2020,
ANNIE KUSTER VICTORY FUND,H0NH02181,C00462861,H,P,"KUSTER FOR CONGRESS, INC",
CHRIS SMITH VICTORY FUND,H8NJ04014,C00096412,H,P,FRIENDS OF CHRIS SMITH,
NONE,H8NJ03073,C00226928,H,P,PALLONE FOR CONGRESS,
SUPPORTING CONSERVATIVES OF TODAY AND TOMORROW (SCOTT PAC),H8NJ05052,C00386110,H,U,ADVANCING CONSERVATIVE ENTERPRISES PAC,
,H8NJ05052,C00370767,H,A,GARRETT FOR CONGRESS 2002,
,H8NJ05052,C00354282,H,A,GARRETT FOR CONGRESS 2000,
,H8NJ05052,C00332908,H,A,GARRETT FOR CONGRESS,
NONE,H6NJ13191,C00410753,H,P,SIRES FOR CONGRESS,
HEALTH FIRST COMMITTEE,H6NJ12136,C00444224,H,P,LANCE FOR CONGRESS,
,H6NJ12136,C00312900,H,P,LANCE FOR CONGRESS,
LUCKY 13 JOINT FUNDRAISING COMMITTEE,H0NJ03153,C00477661,H,P,"JON RUNYAN FOR CONGRESS, INC",
NONE,H0NJ01066,C00243428,N,U,PAC FOR GROWTH AND EXCELLENCE,
REPUBLICANS INSPIRING SUCCESS & EMPOWERMENT PROJECT (RISE PROJECT),H2NJ02037,C00269340,H,P,LOBIONDO FOR CONGRESS,
NONE,H2NJ05014,C00299404,H,P,FRELINGHUYSEN FOR CONGRESS,
,H2NJ05014,C00247494,H,A,FRELINGHUYSEN FOR CONGRESS '90,
,H2NJ05014,C00148684,H,A,FRELINGHUYSEN FOR CONGRESS,
NONE,H6NJ08118,C00313510,H,P,PASCRELL FOR CONGRESS,
ROCKET PAC,H6NJ12144,C00313684,H,P,RUSH HOLT FOR CONGRESS,
NONE,H2NJ10154,C00519355,H,P,DONALD M PAYNE JR FOR CONGRESS,
TEAM 2012,H2NM02126,C00463836,H,P,PEOPLE FOR PEARCE,
NONE,H2NM02126,C00373118,H,A,PEARCE FOR CONGRESS,
,H8NM01257,C00501254,H,P,FRIENDS OF MICHELLE,
